見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2017-秋 特集「ＮＡＮＧＡ 俗を去り自ら娯しむ」,展示,?12月17日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,特別展「アメリカへ渡った二人 国吉康雄と石垣栄太郎」 ,展示,10月7日?12月24日 ,,,,一般510円　学生301円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,特別展「道成寺と日高川－道成寺縁起と流域の宗教文化－」 ,展示,10月14日?11月26日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,秋期特別展「道が織りなす旅と文化」 ,展示,?11月26日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,特別展リレー講演（2）,イベント,10月28日13:30?15:00,,小学生以上,50人（先着順）,,10月13日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,特別展リレー講演（3）,イベント,11月4日13:30?15:00,,小学生以上,50人（先着順）,,10月20日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,おはなし会（2）,イベント,10月21日15:00?15:30,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,ドングリひろいと工作教室,イベント,10月29日13:00?16:00,,小学生以上（小学4年生以下は保護者同伴）,30人（抽選）,200円,10月15日まで ,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）, 講演会「文系の地学」,イベント,11月3日13:00?15:00,,小学５年生以上,60人（先着順）,,事前申込,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,チリメンモンスターイン和歌山,イベント,11月12日13:00?15:00,,小学生以上（小学4年生以下は保護者同伴）,20人（抽選）,100円,10月29日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,緑風盆栽会・盆栽展,展示,10月13?15日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）, 秋のボタニカルアート教室,イベント,10月14･15日,,,36人（先着順）,600円,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,山草会・秋の展示会山草会・秋の展示会の写真,展示,10月14･15日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,シャボテン・多肉植物即売会,イベント,11月3?5日,,,,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,企画展「万葉いけばな展」保田カズミ教室,展示,10月14･15日,,,,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,「万葉押し花展」,展示,10月18日?平成30年1月14日,,,,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,第９回 村瀬先生と行く万葉バスツアー～法隆寺・龍田大社・河内大橋を訪ねて～ ,イベント,11月5日,,小学生以上（未成年者は保護者同伴）,30人（先着順）,"10,000円",事前申込 ,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,手づくり紙芝居コンクール最終審査会,イベント,10月28日13:30?16:00,,,200人 ,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,図書館バックヤード見学,イベント,11月2日10:30?11:30、14:00?15:00,,県内中学生以上,各回10人（先着順）,,10月18?31日,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜, 南葵音楽文庫プレ・オープン記念演奏会、講演会,イベント,12月3日14:00?16:00,,,120人（抽選）,,120人（抽選）,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会,,10月4･8･22日、11月4･12･26日11:00? ,,,,,【譲渡会は常時開催しています。】 ,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会in田辺,,10月13日11:00?,西牟婁振興局（田辺市）,,,"※譲渡を受けるには受講と、犬については狂犬病予防注射代 2,640円が必要です。",,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,動物の譲渡・ミルク・一時預かりボランティア募集説明会,,10月19日13:30?14:30,新宮保健所串本支所（串本町）,,,,,入場無料
